CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
22260,ADMJ 1,01Y,M,1030,1220,James,Suits,L22
27742,ADMJ 3,50Z,,,,James,Suits,ONLINE
26985,ADMJ 6,50Z,,,,Ramona,Gabriel,ONLINE
27736,ADMJ 11,01Z,W,1800,1950,Kevin,Lee,ONLINE
24340,ADMJ 29,65Z,,,,Meghan,Kensler,ONLINE
26987,ADMJ 51,50Z,,,,Ramona,Gabriel,ONLINE
27739,ADMJ 54,50Z,,,,DuJuan,Green,ONLINE
27667,ADMJ 61,01Y,W,1800,1950,Jeremiah,Garrido,L22
27680,ADMJ 73,01Z,R,1800,1950,James,Suits,ONLINE
27670,ADMJ 74A,01Y,R,1030,1220,Ramona,Gabriel,L22
26438,ADMJ 75,01Z,M,1800,1950,Griffin,Bonini,ONLINE
