CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
24755,ANTH 1,01Y,W,1330,1520,Ameeta,Tiwana,MLC102
21055,ANTH 1,03Y,M,1030,1220,Elisabeth-Anne,Mabie,MLC102
28010,ANTH 1,51Z,,,,Elisabeth-Anne,Mabie,ONLINE
00076,ANTH 1,52Z,,,,Ameeta,Tiwana,ONLINE
00082,ANTH 1,55Z,,,,Emily,Beggs,ONLINE
00083,ANTH 1,56Z,,,,Emily,Beggs,ONLINE
27301,ANTH 1,57Z,,,,Leslie,Berry,ONLINE
22301,ANTH 1,62Z,,,,Julie,Hui,ONLINE
24757,ANTH 1L,01,M,1330,1620,Emily,Beggs,MLC101
00086,ANTH 1L,51Z,,,,Elisabeth-Anne,Mabie,ONLINE
21056,ANTH 1L,52Z,,,,Ameeta,Tiwana,ONLINE
21157,ANTH 1L,53Z,,,,Ameeta,Tiwana,ONLINE
21760,ANTH 1L,54Z,,,,Ameeta,Tiwana,ONLINE
00089,ANTH 2,01Y,M,1330,1520,Daniel,Solomon,L24
00095,ANTH 2,02Y,R,1330,1520,Angel,Roque,L24
00093,ANTH 2,03Y,T,1330,1520,Ashidhara,Das,L24
25306,ANTH 2,52Z,,,,Alicia,Hedges,ONLINE
22789,ANTH 2,54Z,,,,Mayra,Cerda Aguilar,ONLINE
22297,ANTH 2,65Z,,,,Angel,Roque,ONLINE
25551,ANTH 3,01Y,TR,1130,1220,Alicia,Hedges,L24
27734,ANTH 4,50Z,,,,Nancy,Olsen,ONLINE
26449,ANTH 5,50Z,,,,Daniel,Solomon,ONLINE
02449,ANTH 6,50Z,,,,Ashidhara,Das,ONLINE
25303,ANTH 7,50Z,,,,Elisabeth-Anne,Mabie,ONLINE
