CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
00117,ARTS 1A,01Y,R,1230,1420,Elizabeth,Mjelde,MLC103
26854,ARTS 1A,02Y,W,930,1120,Paul,Roehl,FOR3
26940,ARTS 1A,03Y,M,1430,1620,Yael,Karmi,VPA132
26225,ARTS 1A,04Y,F,930,1120,Paul,Roehl,A11
24216,ARTS 1A,62Z,,,,Elizabeth,Mjelde,ONLINE
24443,ARTS 1A,63Z,,,,Elizabeth,Mjelde,ONLINE
25463,ARTS 1A,64Z,,,,Yael,Karmi,ONLINE
21198,ARTS 1A,65Z,,,,Deborah,Pasturel,ONLINE
00120,ARTS 2A,50Z,,,,Deborah,Pasturel,ONLINE
00121,ARTS 2B,50Z,,,,Linda,Becerril,ONLINE
25978,ARTS 2C,65Z,,,,Elizabeth,Mjelde,ONLINE
00123,ARTS 2D,50Z,,,,Linda,Becerril,ONLINE
00127,ARTS 2F,61Z,,,,Catie,Cadge-Moore,ONLINE
02534,ARTS 2F,62Z,,,,Catie,Cadge-Moore,ONLINE
25791,ARTS 2G,61Z,,,,So,Kam Lee,ONLINE
27624,ARTS 2J,60Z,,,,Catie,Cadge-Moore,ONLINE
25297,ARTS 3TC,50Z,,,,Natasha,Kleit,ONLINE
26329,ARTS 4A,01Y,,,,Darren,Kerr,ONLINE
22907,ARTS 4A,02,MW,1230,1345,Darren,Kerr,A94
22910,ARTS 4A,03Y,,,,Darren,Kerr,ONLINE
22909,ARTS 4A,52Z,,,,Masako,Miki,ONLINE
22908,ARTS 4A,53Z,,,,Masako,Miki,ONLINE
25422,ARTS 4A,54Z,,,,Meiru,Huang,ONLINE
27644,ARTS 4B,01Z,,,,Meiru,Huang,ONLINE
27645,ARTS 4C,01,MW,930,1045,Meiru,Huang,A94
22916,ARTS 8,01Y,,,,Meiru,Huang,ONLINE
22913,ARTS 8,51Z,,,,Eugene,Rodriguez,ONLINE
23617,ARTS 10A,01,MW,930,1045,Patricia,Jauch,A71
23618,ARTS 10B,01,MW,930,1045,Patricia,Jauch,A71
26505,ARTS 12,01Y,,,,Kimberly,Cook,ONLINE
22917,ARTS 12,50Z,,,,Eugene,Rodriguez,ONLINE
25979,ARTS 14A,01,TR,930,1045,Lei,Chi,A93
26521,ARTS 14B,01,TR,930,1045,Lei,Chi,A93
26522,ARTS 14C,01,TR,930,1045,Lei,Chi,A93
27646,ARTS 15A,01Y,,,,Eugene,Rodriguez,ONLINE
27647,ARTS 15B,01Y,,,,Eugene,Rodriguez,ONLINE
27648,ARTS 15C,01Y,,,,Eugene,Rodriguez,ONLINE
23623,ARTS 18A,01,MW,930,1045,Rocky,Lewycky,A51
27649,ARTS 18A,02,MW,1230,1345,Rocky,Lewycky,A51
23622,ARTS 18A,02L,F,930,1220,Crystal,Kamoroff,A51
27068,ARTS 18B,01,TR,930,1045,Rocky,Lewycky,A51
27070,ARTS 18C,01,TR,930,1045,Rocky,Lewycky,A51
27079,ARTS 18D,01,F,930,1220,Crystal,Kamoroff,A51
27071,ARTS 18E,01,TR,930,1045,Rocky,Lewycky,A51
27650,ARTS 19M,01,MW,930,1045,Rocky,Lewycky,A51
23619,ARTS 37A,01,MW,1230,1345,Patricia,Jauch,A71
23620,ARTS 37B,01,MW,1230,1345,Patricia,Jauch,A71
23621,ARTS 37C,01,MW,1230,1345,Patricia,Jauch,A71
24139,ARTS 53,01Y,,,,Marco,Marquez,ONLINE
24141,ARTS 53,65Z,,,,Marco,Marquez,ONLINE
24140,ARTS 54,62Y,,,,Stacey,Houghton,ONLINE
26507,ARTS 55A,01Z,,,,Marco,Marquez,ONLINE
27076,ARTS 56,50Z,,,,Marco,Marquez,ONLINE
27077,ARTS 86,01,TR,930,1045,Marco,Marquez,AT312
