CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
00207,ASTR 4,01Z,TR,1330,1420,Rachel,Mastrapa,ONLINE
00209,ASTR 4,02Z,TR,1430,1520,Srikar,Srinath,ONLINE
27087,ASTR 4,04,TR,1330,1545,Caitlin,Marie Kepple,PLT
00206,ASTR 4,50Z,,,,Caitlin,Marie Kepple,ONLINE
00208,ASTR 4,61Z,,,,Rachel,Mastrapa,ONLINE
24967,ASTR 4,62Z,,,,Marek,Cichanski,ONLINE
25942,ASTR 4,63Z,,,,Marek,Cichanski,ONLINE
00210,ASTR 4,65Z,,,,Eric,Peterson,ONLINE
27731,ASTR 10,01,MW,1330,1545,Caitlin,Marie Kepple,PLT
25461,ASTR 10,51Z,,,,Eric,Peterson,ONLINE
