CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
00237,BIOL 6A,01Y,,,,Simon,Kang'a,ONLINE
27809,BIOL 6A,02Y,,,,Simon,Kang'a,ONLINE
00239,BIOL 6A,03Y,,,,Bruce,Heyer,ONLINE
00240,BIOL 6A,04Y,,,,Bruce,Heyer,ONLINE
00241,BIOL 6A,05Y,,,,Elizabeth,Mcpartlan,ONLINE
00243,BIOL 6A,06Y,,,,Elizabeth,Mcpartlan,ONLINE
27869,BIOL 6A,10Y,MW,930,1120,Lianna,Wong,ONLINE
27870,BIOL 6A,11Y,MW,930,1120,Lianna,Wong,ONLINE
25378,BIOL 10,01Y,,,,Judy,Cuff-Alvarado,ONLINE
25379,BIOL 10,02Y,,,,Judy,Cuff-Alvarado,ONLINE
26053,BIOL 10,03Y,,,,Elizabeth,Mcpartlan,ONLINE
26054,BIOL 10,04Y,,,,Elizabeth,Mcpartlan,ONLINE
27172,BIOL 10,05Y,,,,Jason,Bram,ONLINE
27173,BIOL 10,06Y,,,,Jason,Bram,ONLINE
27174,BIOL 10,07Y,,,,Judy,Cuff-Alvarado,ONLINE
27180,BIOL 10,08Y,,,,Judy,Cuff-Alvarado,ONLINE
27944,BIOL 11,04Y,S,930,1320,Ebenezer,Morikang,ONLINE
27810,BIOL 11,08Y,,,,Simon,Kang'a,ONLINE
27858,BIOL 11,09Y,,,,Simon,Kang'a,ONLINE
27192,BIOL 13,01Y,,,,Jason,Bram,ONLINE
27246,BIOL 13,02Y,,,,Jason,Bram,ONLINE
27247,BIOL 26,01Y,,,,Elsa,Jimenez-Samayoa,ONLINE
27248,BIOL 26,02Y,,,,Elsa,Jimenez-Samayoa,ONLINE
27249,BIOL 26,03Y,,,,Ann,Daniel,ONLINE
27250,BIOL 40A,01Y,,,,Vicky,Annen,ONLINE
27251,BIOL 40A,02Y,,,,Vicky,Annen,ONLINE
27252,BIOL 40A,03Y,,,,Robert,Kalpin,ONLINE
27253,BIOL 40A,04Y,,,,Robert,Kalpin,ONLINE
27254,BIOL 40A,05Y,,,,Nora,Balabanian,ONLINE
27256,BIOL 40A,06Y,,,,Nora,Balabanian,ONLINE
27257,BIOL 40A,07Y,,,,Robert,Kalpin,ONLINE
27258,BIOL 40A,08Y,,,,Robert,Kalpin,ONLINE
27259,BIOL 40B,01,TR,1230,1420,Lakshmikanta,Sengupta,SC1102
27811,BIOL 40B,01Y,,,,Susmita,Sengupta,ONLINE
27260,BIOL 40B,02,TR,1230,1420,Lakshmikanta,Sengupta,SC1102
27812,BIOL 40B,02Y,,,,Susmita,Sengupta,ONLINE
27261,BIOL 40C,01,MW,1230,1420,Eric,Pane,MLC103
27262,BIOL 40C,02,MW,1230,1420,Eric,Pane,MLC103
21639,BIOL 45,01Z,,,,Anna,Miller,ONLINE
27302,BIOL 45,02Z,,,,Anna,Miller,ONLINE
27848,BIOL 54I,50Z,,,,Judy,Cuff-Alvarado,ONLINE
27849,BIOL 54J,50Z,,,,Judy,Cuff-Alvarado,ONLINE
25389,BIOL 77,65R,,,,Elizabeth,Mcpartlan,ONLINE
28011,BIOL 87,66R,TR,1030,1145,Elizabeth,Mcpartlan,KC239
28022,BIOL 87,67R,R,830,1120,Elizabeth,Mcpartlan,SC2108
27844,HLTH 21,01Z,W,1335,1500,Alison,Campbell,ONLINE
26055,HLTH 21,1GZ,W,1335,1500,Alison,Campbell,ONLINE
26792,HLTH 21,51Z,,,,Barbara,Liechty,ONLINE
26795,HLTH 21,52Z,,,,Barbara,Liechty,ONLINE
27786,HLTH 21,53Z,,,,Barbara,Liechty,ONLINE
27790,HLTH 57A,01,F,1330,1620,Mary,Donahue,S56
27156,NUTR 10,01Z,,,,Alison,Campbell,ONLINE
27150,NUTR 10,03Z,M,930,1120,Georgia,Acker,ONLINE
27151,NUTR 10,04Z,,,,Alison,Campbell,ONLINE
27152,NUTR 10,05Z,M,1130,1320,Georgia,Acker,ONLINE
27784,NUTR 10,06Z,,,,Alison,Campbell,ONLINE
27154,NUTR 10,07Z,M,1530,1720,Georgia,Acker,ONLINE
27850,NUTR 10,50Z,,,,Anna,Miller,ONLINE
27851,NUTR 62G,50Z,,,,Anna,Miller,ONLINE
