CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
00292,BUS 10,01Y,MW,1100,1215,Emily,Garbe,ADM102
00288,BUS 10,03Y,TR,1100,1215,Emily,Garbe,ADM102
21682,BUS 10,05Y,MW,1400,1515,Wenlei,Shan,ADM102
27637,BUS 10,06Y,MW,1230,1345,Brian,Bennett,ADM102
27640,BUS 10,07Y,TR,1200,1315,Gordon,Smith,MCC-17
27903,BUS 10,08Y,TR,1230,1345,Emily,Garbe,ADM102
00297,BUS 10,62Z,,,,Byron,Lilly,ONLINE
24564,BUS 10,65Z,,,,Michele,Fritz,ONLINE
00290,BUS 10,66Z,,,,Byron,Lilly,ONLINE
26452,BUS 10,67Z,,,,Michele,Fritz,ONLINE
26453,BUS 10,68Z,,,,Wenlei,Shan,ONLINE
27658,BUS 10,69Z,,,,Guillermo,Hernandez,ONLINE
00301,BUS 18,01Y,MW,930,1045,Byron,Lilly,ADM102
00300,BUS 18,02Y,TR,930,1045,Byron,Lilly,ADM102
27990,BUS 18,11Z,MW,1330,1445,Sandra,Spencer,ONLINE
27991,BUS 18,12Z,MW,1100,1215,Sandra,Spencer,ONLINE
25984,BUS 18,15Z,TR,1330,1445,Joseph,Barbeau,ONLINE
27902,BUS 18,16Z,TR,1800,1915,Joseph,Barbeau,ONLINE
00307,BUS 18,62Z,,,,Dan,Salah,ONLINE
00308,BUS 21,62Z,,,,Byron,Lilly,ONLINE
26506,BUS 50,62Z,,,,Mary,Hiland,ONLINE
27992,BUS 54,11Z,MW,930,1045,Sandra,Spencer,ONLINE
20974,BUS 55,62Z,,,,Kimberlee,Andrews-Bingham,ONLINE
00311,BUS 56,62Z,,,,Lale,Yurtseven,ONLINE
24665,BUS 57,62Z,,,,Kimberlee,Andrews-Bingham,ONLINE
25458,BUS 60,01Z,MW,1630,1745,Brian,Bennett,ONLINE
27632,BUS 60,1GZ,MW,1630,1745,Brian,Bennett,ONLINE
27652,BUS 60,62Z,,,,Lale,Yurtseven,ONLINE
21638,BUS 65,62Z,,,,Michele,Fritz,ONLINE
27067,BUS 70,62Z,,,,Guillermo,Hernandez,ONLINE
27069,BUS 85,62Z,,,,Oduro,Takyi,ONLINE
21223,BUS 87,62Z,,,,Oduro,Takyi,ONLINE
27831,BUS 89,50Z,,,,Dionne,Morgan,ONLINE
27641,BUS 90,01Z,TR,1420,1550,Gordon,Smith,ONLINE
27651,BUS 90,1GZ,TR,1420,1550,Gordon,Smith,ONLINE
00323,BUS 90,62Z,,,,Emily,Garbe,ONLINE
27653,BUS 90,65Z,,,,Dionne,Morgan,ONLINE
21660,BUS 91,62Z,,,,Dan,Salah,ONLINE
20989,BUS 96,62Z,,,,Michele,Fritz,ONLINE
