CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
24246,COMM 1,01Z,MW,730,945,Joel,Sakakihara,ONLINE
24247,COMM 1,02Y,MW,830,1020,Royce,Cano,L48
24347,COMM 1,03Y,MW,930,1120,Shagundeep,Kaur,L45
24348,COMM 1,04Y,MW,1030,1220,Kathleen,Raiff,L48
24349,COMM 1,05Y,TR,1130,1320,Alex,Kramer,L45
24352,COMM 1,06Y,MW,1230,1420,James,Ahern,L49
24354,COMM 1,07Y,MW,1330,1520,Kathleen,Raiff,L43
24355,COMM 1,08Y,MW,1430,1620,Thalia,Bobadilla,L49
24356,COMM 1,09Y,MW,1630,1820,Scott,Koppel,L49
25670,COMM 1,1UM,TR,930,1120,Russell,Hong,L49
24346,COMM 1,10Y,W,1600,1815,Stephanie,Anderson,L45
24359,COMM 1,11Y,TR,730,920,David,Hamilton,L49
24361,COMM 1,12Y,TR,830,1020,Joel,Sakakihara,L48
24365,COMM 1,14Y,TR,1030,1220,Peter,Lee,L48
24366,COMM 1,15Y,TR,1130,1320,Russell,Hong,L49
24368,COMM 1,16Y,TR,1230,1420,Morgan,McKnight,L48
24371,COMM 1,17Y,TR,1330,1520,Alex,Kramer,L45
26315,COMM 1,18Y,TR,1430,1620,Peter,Lee,L48
26662,COMM 1,19Y,TR,1630,1820,Karl,Isacson,L48
24345,COMM 1,20Y,TR,1830,2020,Karl,Isacson,L49
24358,COMM 1,51Z,MW,1830,2045,Stephen,Hinerman,ONLINE
24353,COMM 1,52Z,,,,Alex,Kramer,ONLINE
24357,COMM 1,53Z,,,,Nick,Chivers,ONLINE
24362,COMM 1,54Z,,,,Thalia,Bobadilla,ONLINE
24369,COMM 1,55Z,,,,James,Ahern,ONLINE
25456,COMM 1,56Z,,,,Royce,Cano,ONLINE
24350,COMM 1,57Z,,,,Roxanne,Cnudde,ONLINE
24351,COMM 1,58Z,,,,Tina,Lim,ONLINE
25455,COMM 1,59Z,,,,Nick,Chivers,ONLINE
26309,COMM 1,60Z,,,,Roxanne,Cnudde,ONLINE
27361,COMM 1,62Z,,,,Tina,Lim,ONLINE
28016,COMM 1,63Z,,,,Royce,Cano,ONLINE
27732,COMM 7,01Y,M,930,1120,Nick,Chivers,MLC111
27733,COMM 7,02Y,W,930,1120,Thalia,Bobadilla,MLC111
24372,COMM 8,01Y,TR,930,1120,Alex,Kramer,L45
24373,COMM 8,51Z,,,,Alex,Kramer,ONLINE
24374,COMM 9,01Y,T,1600,1815,Brandon,Gainer,L49
24375,COMM 9,51Z,,,,Brandon,Gainer,ONLINE
24904,COMM 10,01Y,MW,830,1020,Russell,Hong,L49
24377,COMM 10,02Y,MW,930,1120,Lucas,Wang,L43
24378,COMM 10,03Y,MW,1030,1220,Russell,Hong,L49
24379,COMM 10,04Y,MW,1130,1320,Thalia,Bobadilla,MLC111
24380,COMM 10,05Y,MW,1330,1520,Russell,Hong,L48
24382,COMM 10,06Y,TR,930,1120,Morgan,McKnight,L43
24383,COMM 10,07Y,TR,1030,1220,David,Hamilton,L83
24384,COMM 10,08Y,TR,1130,1320,Patrick,McDonnell,L43
24385,COMM 10,09Y,TR,1230,1420,Anya,Iyengar,ADM103
24386,COMM 10,10Y,TR,1330,1520,Patrick,McDonnell,L49
24390,COMM 10,11Y,TR,1530,1720,Anya,Iyengar,L45
24376,COMM 10,50Z,,,,Stephanie,Anderson,ONLINE
24391,COMM 10,51Z,,,,Stephanie,Anderson,ONLINE
24393,COMM 15,01Y,R,1600,1815,Stephanie,Anderson,L49
24394,COMM 15,51Z,,,,Brandon,Gainer,ONLINE
24395,COMM 16,01Y,MW,1130,1320,Nick,Chivers,MLC112
24396,COMM 16,50Z,,,,Nick,Chivers,ONLINE
27155,COMM 70,50Z,,,,Shagundeep,Kaur,ONLINE
