CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
27642,DANC 22,01,TR,930,1045,Janet,Shaw,PE11U
21652,DANC 22K,01,TR,1130,1245,Janet,Shaw,PE11U
21683,DANC 22L,01,TR,1130,1245,Janet,Shaw,PE11U
22255,DANC 22M,01,TR,1130,1245,Janet,Shaw,PE11U
23048,DANC 38A,01,TR,930,1120,Warren,Lucas,A11
23049,DANC 38A,50Z,,,,Vernon,Gallegos,ONLINE
02417,THEA 1,50Z,,,,Vernon,Gallegos,ONLINE
02416,THEA 1,51Z,,,,Vernon,Gallegos,ONLINE
26168,THEA 20A,01,TR,930,1045,Elizabeth,Stimson,G3
27635,THEA 20A,61,MW,1830,1945,Neil,Schwartz,G3
26169,THEA 20B,01,TR,930,1045,Elizabeth,Stimson,G3
27636,THEA 20B,61,MW,1830,1945,Neil,Schwartz,G3
26170,THEA 20C,01,TR,930,1045,Elizabeth,Stimson,G3
27638,THEA 20C,61,MW,1830,1945,Neil,Schwartz,G3
