CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
25401,ES 1,50Z,,,,Alicia,De Toro,ONLINE
25405,ES 1,51Z,,,,William,Roeder,ONLINE
25406,ES 1,52Z,,,,William,Roeder,ONLINE
27817,ES 1,53Z,,,,William,Roeder,ONLINE
27827,ES 1,54Z,,,,Joshua,McCluskey,ONLINE
26061,ES 2,50Z,,,,Alicia,De Toro,ONLINE
20942,ES 3,50Z,,,,Lynn,Thorensen,ONLINE
27828,ES 3,51Z,,,,Lynn,Thorensen,ONLINE
27819,ES 4,01Z,,,,William,Roeder,ONLINE
20917,ES 6,50Z,,,,Jeff,Staudinger,ONLINE
21691,ES 50,50Z,,,,Jeff,Staudinger,ONLINE
24813,ES 58,50Z,,,,Ronald,Wheelehan,ONLINE
26158,ES 61L,50Z,,,,Jeff,Staudinger,ONLINE
23739,ES 64,62Z,,,,Jeff,Staudinger,ONLINE
27119,ES 69,50Z,,,,Ronald,Wheelehan,ONLINE
26796,ES 71,50Z,,,,Massimo,Maniaci,ONLINE
24825,ES 82,62Z,,,,Ronald,Wheelehan,ONLINE
24824,ES 83,62Z,,,,Massimo,Maniaci,ONLINE
27820,ES 95,01,R,1000,1210,Jeff,Staudinger,KC239
27793,ESCI 1,01Y,W,1330,1520,Alicia,De Toro,KC112
02508,ESCI 1,01Z,TR,1330,1520,Helian,Ratsirarson,ONLINE
27832,ESCI 1,02Z,,,,Helian,Ratsirarson,ONLINE
27795,ESCI 1,50Z,,,,Alicia,De Toro,ONLINE
27798,ESCI 1,51Z,,,,Ryan,Phillips,ONLINE
23135,ESCI 1,52Z,,,,Ryan,Phillips,ONLINE
24226,ESCI 1,53Z,,,,Mary,Poffenroth,ONLINE
27830,ESCI 1,54Z,,,,Jana,Sanders,ONLINE
27829,ESCI 1,55Z,,,,Helian,Ratsirarson,ONLINE
26149,ESCI 1,56Z,,,,Mary,Poffenroth,ONLINE
24871,ESCI 1L,01,M,930,1220,Joshua,McCluskey,KC115
20302,ESCI 1L,02,W,930,1220,Joshua,McCluskey,KC115
27114,ESCI 1L,03,T,1230,1520,Joshua,McCluskey,KC115
27821,ESCI 1L,1UM,W,1030,1320,Alicia,De Toro,KC112
27314,ESCI 19,03Y,,,,Gayatri,Pal,ONLINE
