CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
01031,F/TV 1,01,M,1230,1620,Christina,Wright,FOR3
01033,F/TV 1,02L,,,,Kristen,Anderson,ONLINE
01032,F/TV 1,51Z,,,,Ingrid,Schulz,ONLINE
26328,F/TV 1,52Z,,,,Ingrid,Schulz,ONLINE
02513,F/TV 2A,50Z,,,,Christina,Wright,ONLINE
01035,F/TV 2B,50Z,,,,Kristen,Anderson,ONLINE
26500,F/TV 2B,51Z,,,,Christina,Wright,ONLINE
24748,F/TV 6A,01Y,R,1430,1620,Joshua,Losben,MLC102
23584,F/TV 6A,62Z,,,,Joshua,Losben,ONLINE
24747,F/TV 10,01Z,T,1030,1420,Joel,Abramson,ONLINE
22219,F/TV 20,01,MW,930,1045,Rachel,Silveria,AT107
20524,F/TV 20,01Y,,,,Milena,Grozeva,ONLINE
20525,F/TV 20,02Y,,,,Rachel,Silveria,ONLINE
25296,F/TV 26,01Y,F,930,1020,Milena,Grozeva,AT107
25906,F/TV 27,01Z,,,,Rachel,Silveria,ONLINE
24749,F/TV 29,01Y,F,1230,1320,Milena,Grozeva,AT107
27686,F/TV 30,01,W,1230,1445,Joel,Abramson,AT205
24750,F/TV 60B,61Y,R,1730,1920,Joshua,Losben,MLC102
24751,F/TV 60C,61Y,R,1730,1920,Joshua,Losben,AT115
25290,F/TV 67A,01Y,R,1030,1320,Mark,Hamer,AT205
24068,F/TV 71G,01Y,F,1030,1320,Genevieve,Freckelton,AT205
24069,F/TV 71H,01Z,F,1330,1620,Genevieve,Freckelton,AT205
25292,F/TV 72G,01Y,T,1030,1320,Mark,Hamer,AT205
25293,F/TV 72H,01Y,T,1030,1320,Mark,Hamer,AT205
25294,F/TV 72J,01Y,T,1030,1320,Mark,Hamer,AT205
26499,F/TV 75G,50Z,,,,Mark,Hamer,ONLINE
