CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
25284,HIST 3A,50Z,,,,Greg,Knittel,ONLINE
25866,HIST 3A,51Z,,,,Raeann,Ramsey,ONLINE
25287,HIST 3B,50Z,,,,Christopher,Jackson,ONLINE
27745,HIST 3B,51Z,,,,Rashi,Jackman,ONLINE
27856,HIST 3BH,50Z,,,,Christopher,Jackson,ONLINE
25868,HIST 3C,50Z,,,,Christopher,Jackson,ONLINE
27746,HIST 3C,51Z,,,,George,Edgar,ONLINE
27857,HIST 3CH,50Z,,,,Christopher,Jackson,ONLINE
24096,HIST 6A,50Z,,,,Ben,Kline,ONLINE
27747,HIST 6C,50Z,,,,Ben,Kline,ONLINE
27060,HIST 9,01Z,MW,1330,1520,Anne,Hickling,ONLINE
26702,HIST 17A,01,TR,1030,1220,Carol,Cini,L26
27749,HIST 17A,02,MTWR,1230,1320,Mylinh,Pham,L72
24322,HIST 17A,51Z,,,,Carol,Cini,ONLINE
01132,HIST 17A,53Z,,,,Greg,Knittel,ONLINE
24768,HIST 17A,62Z,,,,Carol,Cini,ONLINE
27855,HIST 17AH,02,MTWR,1230,1320,Mylinh,Pham,L72
25872,HIST 17B,01,MW,1030,1220,Mylinh,Pham,L72
26703,HIST 17B,02L,F,1330,1720,Greg,Knittel,FOR4
23409,HIST 17B,52Z,,,,Hai,Nguyen,ONLINE
26838,HIST 17B,53Z,,,,Greg,Knittel,ONLINE
27750,HIST 17B,54Z,,,,Christopher,Jackson,ONLINE
27893,HIST 17BH,01,MW,1030,1220,Mylinh,Pham,L72
27892,HIST 17BH,54Z,,,,Christopher,Jackson,ONLINE
26458,HIST 17C,01,MTWR,930,1020,Mylinh,Pham,L72
26701,HIST 17C,02,TR,1330,1520,Carol,Cini,L26
24770,HIST 17C,50Z,,,,Christopher,Jackson,ONLINE
25279,HIST 17C,52Z,,,,David,Howard-Pitney,ONLINE
24886,HIST 17C,55Z,,,,Carol,Cini,ONLINE
25276,HIST 17C,58Z,,,,Raeann,Ramsey,ONLINE
24098,HIST 17C,59Z,,,,Hai,Nguyen,ONLINE
27854,HIST 17CH,01,MTWR,930,1020,Mylinh,Pham,L72
26421,HIST 18A,60Z,,,,Julie,Keiffer-Lewis,ONLINE
