CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
23700,HTEC 50,01Z,F,1030,1220,Sumedha,Sherlekar,ONLINE
01165,HTEC 60A,01Z,,,,Maureen,Miramontes,ONLINE
01167,HTEC 60A,02Z,,,,Sumedha,Sherlekar,ONLINE
27863,HTEC 60G,01Z,T,930,1120,Susan,Schmitz,ONLINE
25362,HTEC 61,01Z,T,1730,1820,Roy,Shurtliff,ONLINE
26799,HTEC 64A,50,W,1730,1820,Maureen,Miramontes,S74
27914,HTEC 64B,03,R,1030,1320,Mary,Lavin,S74
20363,HTEC 68,1JF,,,,Maureen,Miramontes,TBA
24836,HTEC 72,61Z,W,1800,1850,Sunita,Rangwala,ONLINE
23705,HTEC 73,01Z,R,1730,2020,Roy,Shurtliff,ONLINE
25365,HTEC 74A,01Z,,,,Roy,Shurtliff,ONLINE
26800,HTEC 75,01Z,M,1800,1850,Marjorie,Guanzon,ONLINE
21956,HTEC 77,65R,S,930,1220,Maureen,Miramontes,S74
21957,HTEC 77X,65R,S,730,1330,Maureen,Miramontes,S75
23703,HTEC 77Y,65R,FS,730,1145,Maureen,Miramontes,S73
01178,HTEC 80,01,W,1030,1445,Cynthia,Press,S73
24552,HTEC 80,02,R,1630,2045,Victoria,Gilles,S73
01179,HTEC 80A,01Z,M,1730,2145,Thuy,Pinheiro,ONLINE
26831,HTEC 82A,62Z,T,1700,1815,Eric,Moon,ONLINE
23706,HTEC 90G,01,W,1130,1220,Maureen,Miramontes,S74
20908,HTEC 95A,1JF,,,,Maureen,Miramontes,TBA
27864,HTEC 95B,1JF,,,,Maureen,Miramontes,TBA
20910,HTEC 96A,1JF,,,,Maureen,Miramontes,TBA
21665,HTEC 96C,1JF,,,,Maureen,Miramontes,TBA
26116,HTEC 96D,1JF,,,,Maureen,Miramontes,TBA
26117,HTEC 96E,1JF,,,,Maureen,Miramontes,TBA
26118,HTEC 96F,1JF,,,,Maureen,Miramontes,TBA
26139,HTEC 96G,1JF,,,,Maureen,Miramontes,TBA
26119,HTEC 96H,1JF,,,,Maureen,Miramontes,TBA
26121,HTEC 101A,01,T,1430,1720,Tony,Milano,S75
01188,HTEC 101A,04,T,1800,2050,Tony,Milano,S74
26124,HTEC 101B,01,W,1430,1720,Maureen,Miramontes,S74
26125,HTEC 101C,61Z,W,1730,2020,Roy,Shurtliff,ONLINE
01191,HTEC 101D,02Z,T,1800,2050,Marjorie,Guanzon,ONLINE
26128,HTEC 101H,01Z,,,,Roy,Shurtliff,ONLINE
26132,HTEC 101L,01,T,1430,1720,Tony,Milano,S75
22310,HTEC 101L,04,T,1800,2050,Tony,Milano,S74
26136,HTEC 101M,01,T,1430,1545,Tony,Milano,S75
22311,HTEC 101M,04,T,1800,1915,Tony,Milano,S74
27783,HTEC 110,50Z,,,,Maureen,Miramontes,ONLINE
01193,HTEC 180,01F,MTW,630,1230,Tricia,Buchner,TBA
01194,HTEC 183,01F,MTW,1430,2020,Tricia,Buchner,TBA
01195,HTEC 184,01F,MTW,630,1045,Tricia,Buchner,TBA
21620,HTEC 185,01F,MTW,1430,2020,Tricia,Buchner,TBA
