CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
27000,PHIL 1,01Y,T,1030,1220,Nick,Baiamonte,MLC111
27721,PHIL 1,02Y,M,1330,1520,Sangeeta,Mishra,MLC111
23167,PHIL 1,50Z,,,,Richard,Hammerud,ONLINE
24114,PHIL 1,51Z,,,,Nick,Baiamonte,ONLINE
25802,PHIL 1,52Z,,,,Richard,Hammerud,ONLINE
27726,PHIL 2,50Z,,,,Sangeeta,Mishra,ONLINE
02037,PHIL 3,01Y,T,1230,1445,Nick,Baiamonte,MLC111
20297,PHIL 3,51Z,,,,Nick,Baiamonte,ONLINE
02045,PHIL 4,01Y,R,1430,1620,Javier,Galindo,ADM101
26999,PHIL 4,51Z,,,,Anthony,Hanson,ONLINE
26395,PHIL 8,50Z,,,,Nick,Baiamonte,ONLINE
27725,PHIL 8,51Z,,,,Nick,Baiamonte,ONLINE
