CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
25051,PHYS 2A,02Y,MTR,930,1020,Ronald,Francis,S35
02071,PHYS 2A,03Y,MTR,930,1020,Ronald,Francis,S11
02076,PHYS 4A,01Y,MTWR,930,1020,Eduardo,Luna,S32
02075,PHYS 4A,02Y,MTWR,930,1020,Eduardo,Luna,S32
25893,PHYS 4A,03Y,MTWR,1230,1320,Megan,Ulbricht,S34
25898,PHYS 4A,04Y,MTWR,1230,1320,Megan,Ulbricht,S34
25354,PHYS 4A,08Y,MTWR,1330,1420,Kasra,Khazeni,S35
25975,PHYS 4A,09Y,MTWR,1330,1420,Kasra,Khazeni,S35
02081,PHYS 4B,01Y,MTWR,1330,1420,Zuleyha,Yuksek,MLC105
27761,PHYS 4B,03Y,MTWR,1330,1420,Zuleyha,Yuksek,MLC105
26677,PHYS 4B,35,MW,1730,1945,Kasra,Khazeni,S35
26685,PHYS 4B,48,MW,1730,1945,Kasra,Khazeni,S35
27865,PHYS 4C,50Y,MTWR,1330,1420,Megan,Ulbricht,S34
21249,PHYS 50,01,MTWR,830,920,Eduardo,Luna,S34
02085,PHYS 50,02,MTWR,930,1020,Zuleyha,Yuksek,MLC103
02086,PHYS 50,04Z,TR,1730,1920,Juming,Jiao,ONLINE
22424,PHYS 50,05Z,MW,1730,1920,Peter,Ho,ONLINE
