CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
27862,POLI 1,02Y,MW,830,1020,Ishmael,Tarikh,FOR4
24124,POLI 1,1EZ,M,930,1120,James,Nguyen,ONLINE
27888,POLI 1,3EZ,T,1030,1220,Robert,Stockwell,ONLINE
24122,POLI 1,50Z,,,,Scott,Heffner,ONLINE
27054,POLI 1,51Z,,,,Scott,Heffner,ONLINE
24125,POLI 1,52Z,,,,Albert,Schendan,ONLINE
24130,POLI 1,53Z,,,,Albert,Schendan,ONLINE
28017,POLI 1,58Z,,,,Laura,Chin,ONLINE
24120,POLI 1,9EZ,,,,Laura,Chin,ONLINE
27945,POLI 1H,3EZ,T,1030,1220,Robert,Stockwell,ONLINE
27764,POLI 2,01Y,T,930,1120,James,Nguyen,L25
27989,POLI 3,51Z,,,,Robert,Ovetz,ONLINE
23482,POLI 5,01Y,M,1030,1220,Robert,Stockwell,ADM101
24151,POLI 10,01Y,M,1030,1220,James,Suits,L22
27738,POLI 11,01Z,W,1800,1950,Kevin,Lee,ONLINE
27744,POLI 13,50Z,,,,James,Suits,ONLINE
26485,POLI 15,50Z,,,,Laura,Chin,ONLINE
27056,POLI 17,1EZ,TR,1800,1950,Cynthia,Kaufman,ONLINE
27885,POLI 17H,1EZ,TR,1800,1950,Cynthia,Kaufman,ONLINE
22862,POLI 64,1JZ,,,,Robert,Stockwell,ONLINE
22863,POLI 64X,1JZ,,,,Robert,Stockwell,ONLINE
22864,POLI 64Y,1JZ,,,,Robert,Stockwell,ONLINE
22865,POLI 64Z,1JZ,,,,Robert,Stockwell,ONLINE
26440,POLI 75,01Z,M,1800,1950,Griffin,Bonini,ONLINE
