CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
02123,PSYC 1,01Y,TR,1030,1120,Mark,Healy,FOR1
26460,PSYC 1,02,TR,1230,1420,Harvey,Cohen,ADM119
26461,PSYC 1,03Z,MW,1130,1220,Joshua,Avera,ONLINE
22811,PSYC 1,04Y,TR,930,1020,Mark,Healy,FOR1
26462,PSYC 1,05Y,M,1330,1520,Derrick,Felton,ADM119
26463,PSYC 1,1GF,T,1600,1745,Jeanette,Tucker,HOMSTD
27943,PSYC 1,1YF,T,1600,1745,Jeanette,Tucker,HOMSTD
02128,PSYC 1,50Z,,,,Robin,Schulte,ONLINE
02124,PSYC 1,51Z,,,,Mark,Healy,ONLINE
02130,PSYC 1,53Z,,,,James,Clifford Jr,ONLINE
02126,PSYC 1,54Z,,,,Taiki,Kondo,ONLINE
02132,PSYC 1,56Z,,,,Susan,Thomas,ONLINE
02135,PSYC 1,60Z,,,,Robin,Schulte,ONLINE
23120,PSYC 1,61Z,,,,Sandra,Trafalis,ONLINE
23712,PSYC 1,62,TR,1830,2020,Hy,Diep,L27
02137,PSYC 1,62Z,,,,Chris,Olsen,ONLINE
27451,PSYC 1,63Z,,,,Latosha,Baldwin,ONLINE
25900,PSYC 2,01Y,T,930,1120,Susan,Thomas,L27
27213,PSYC 2,02Z,MW,1800,1950,Taiki,Kondo,ONLINE
26494,PSYC 3,50Z,,,,James,Clifford Jr,ONLINE
02142,PSYC 4,50Z,,,,Daniel,Bunce,ONLINE
20291,PSYC 4,62Z,,,,Sandra,Trafalis,ONLINE
24730,PSYC 4,65Z,,,,Latosha,Baldwin,ONLINE
21178,PSYC 5,50Z,,,,Daniel,Bunce,ONLINE
24968,PSYC 8,01,TR,1030,1220,Harvey,Cohen,ADM119
22279,PSYC 8,50Z,,,,Jeanette,Tucker,ONLINE
26645,PSYC 8,51Z,,,,Robin,Schulte,ONLINE
02149,PSYC 10G,01F,TR,1600,1750,Jayanti,Roy,HOMSTD
26487,PSYC 10G,2CF,S,930,1320,Shelley,Gonzales,CDO
02150,PSYC 10G,51Z,,,,Cristina,Leal,ONLINE
02152,PSYC 10H,01Z,W,1830,2220,Jila,Maleksalehi,ONLINE
02154,PSYC 10H,02Z,R,1030,1220,Julie,Kennedy,ONLINE
21566,PSYC 12,50Z,,,,Sandra,Trafalis,ONLINE
02158,PSYC 14,01Y,M,930,1120,Melissa,Tamas,L27
02159,PSYC 14,51Z,,,,Susan,Thomas,ONLINE
02161,PSYC 14,62Z,,,,Melissa,Tamas,ONLINE
02162,PSYC 15,01Y,TR,1130,1220,Mark,Healy,FOR1
26464,PSYC 15,50Z,,,,Chris,Olsen,ONLINE
25894,PSYC 24,50Z,,,,James,Clifford Jr,ONLINE
28009,PSYC 24,51Z,,,,James,Clifford Jr,ONLINE
02164,PSYC 64,1JZ,,,,Mark,Healy,ONLINE
02165,PSYC 64X,1JZ,,,,Mark,Healy,ONLINE
22463,PSYC 64Y,1JZ,,,,Mark,Healy,ONLINE
20487,PSYC 64Z,1JZ,,,,Mark,Healy,ONLINE
27673,PSYC 74A,01Y,R,1030,1220,Ramona,Gabriel,L22
