CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
02243,REST 50,62Z,,,,Michael,Gough,ONLINE
27123,REST 50,64Z,,,,Mia,Park,ONLINE
02244,REST 51,62Z,,,,Mia,Park,ONLINE
27707,REST 51,65Z,,,,Amber,Hatter,ONLINE
25887,REST 52A,62Z,,,,Sam,Kiamanesh,ONLINE
26514,REST 55,62Z,,,,Dan,Salah,ONLINE
27135,REST 61,62Z,,,,Amber,Hatter,ONLINE
27121,REST 350,62Z,,,,Michael,Gough,ONLINE
27124,REST 350,64Z,,,,Mia,Park,ONLINE
27125,REST 351,62Z,,,,Mia,Park,ONLINE
27710,REST 351,65Z,,,,Amber,Hatter,ONLINE
27133,REST 352A,62Z,,,,Sam,Kiamanesh,ONLINE
27139,REST 355,62Z,,,,Dan,Salah,ONLINE
